iter	Passed	Remaining
0	57	57857
1	58	29144
2	58	19583
3	59	14815
4	59	11923
5	60	10012
6	60	8650
7	61	7613
8	61	6811
9	62	6162
10	62	5642
11	63	5215
12	63	4848
13	64	4532
14	64	4256
15	65	4018
16	65	3812
17	66	3623
18	66	3457
19	67	3311
20	68	3176
21	68	3056
22	69	2938
23	69	2828
24	69	2729
25	70	2637
26	70	2553
27	71	2477
28	71	2407
29	72	2341
30	72	2277
31	73	2215
32	73	2159
33	74	2104
34	74	2052
35	74	2003
36	75	1956
37	75	1912
38	75	1870
39	76	1830
40	76	1793
41	77	1757
42	77	1723
43	77	1690
44	78	1659
45	78	1629
46	78	1600
47	79	1573
48	79	1550
49	80	1527
50	80	1503
51	81	1478
52	81	1456
53	81	1436
54	82	1415
55	82	1397
56	83	1379
57	83	1361
58	84	1344
59	84	1327
60	85	1310
61	85	1294
62	85	1278
63	86	1264
64	86	1250
65	87	1238
66	88	1226
67	88	1209
68	88	1195
69	89	1184
70	89	1172
71	90	1160
72	90	1148
73	90	1137
74	91	1127
75	91	1116
76	92	1105
77	92	1096
78	93	1085
79	93	1075
80	94	1066
81	94	1054
82	94	1042
83	94	1032
84	94	1021
85	95	1011
86	95	1002
87	95	993
88	96	983
89	96	974
90	96	965
91	96	956
92	97	947
93	97	941
94	97	933
95	98	925
96	98	917
97	98	910
98	99	902
99	99	895
100	99	888
101	100	880
102	100	873
103	100	866
104	100	860
105	101	854
106	101	847
107	101	842
108	102	836
109	102	830
110	102	824
111	103	817
112	103	812
113	103	805
114	103	799
115	104	794
116	104	788
117	104	784
118	105	778
119	105	773
120	105	767
121	105	762
122	106	757
123	106	752
124	106	748
125	107	743
126	107	738
127	107	734
128	108	729
129	108	725
130	108	720
131	108	716
132	109	711
133	109	706
134	109	702
135	110	698
136	110	694
137	110	690
138	110	686
139	110	681
140	111	677
141	111	673
142	111	670
143	112	666
144	112	663
145	112	659
146	112	655
147	113	651
148	113	648
149	113	644
150	114	640
151	114	637
152	114	634
153	114	630
154	115	627
155	115	624
156	115	620
157	115	617
158	116	614
159	116	611
160	116	607
161	116	604
162	117	601
163	117	598
164	117	595
165	117	591
166	118	589
167	118	586
168	118	583
169	118	580
170	119	578
171	119	575
172	119	572
173	120	569
174	120	567
175	120	564
176	120	562
177	121	559
178	121	557
179	121	555
180	122	552
181	122	550
182	122	547
183	122	544
184	123	542
185	123	540
186	123	537
187	123	535
188	124	533
189	124	531
190	124	528
191	125	526
192	125	524
193	125	522
194	126	520
195	126	518
196	126	516
197	126	514
198	127	511
199	127	509
200	127	507
201	128	505
202	128	503
203	128	502
204	128	500
205	129	497
206	129	495
207	129	493
208	130	492
209	130	490
210	130	488
211	130	486
212	131	484
213	131	482
214	131	480
215	131	478
216	132	477
217	132	476
218	133	474
219	133	472
220	133	470
221	133	468
222	134	467
223	134	465
224	134	463
225	134	461
226	135	459
227	135	458
228	135	456
229	135	455
230	136	453
231	136	451
232	136	450
233	137	448
234	137	447
235	137	445
236	137	443
237	138	442
238	138	440
239	138	439
240	139	438
241	139	436
242	139	434
243	139	433
244	140	431
245	140	430
246	140	428
247	140	427
248	141	425
249	141	424
250	141	422
251	141	421
252	142	419
253	142	418
254	142	417
255	143	416
256	143	414
257	143	413
258	144	412
259	144	411
260	144	409
261	145	408
262	145	407
263	145	406
264	146	404
265	146	403
266	146	402
267	146	401
268	147	399
269	147	398
270	147	396
271	147	395
272	148	394
273	148	393
274	148	392
275	149	391
276	149	389
277	149	388
278	149	387
279	150	385
280	150	384
281	150	383
282	151	382
283	151	381
284	151	380
285	151	379
286	152	377
287	152	376
288	152	375
289	153	374
290	153	373
291	153	372
292	153	371
293	154	370
294	154	369
295	154	367
296	154	366
297	155	365
298	155	364
299	155	363
300	156	362
301	156	361
302	156	360
303	157	359
304	157	358
305	157	357
306	157	356
307	158	355
308	158	354
309	159	353
310	159	352
311	159	352
312	159	350
313	160	349
314	160	348
315	160	347
316	160	346
317	161	345
318	161	344
319	161	343
320	161	342
321	162	341
322	162	340
323	162	339
324	163	338
325	163	337
326	163	336
327	163	335
328	164	334
329	164	333
330	164	333
331	165	332
332	165	331
333	165	330
334	165	329
335	166	328
336	166	327
337	166	326
338	166	325
339	167	324
340	167	323
341	167	322
342	167	321
343	168	320
344	168	320
345	168	319
346	169	318
347	169	317
348	169	316
349	169	315
350	170	314
351	170	313
352	170	312
353	170	311
354	171	310
355	171	310
356	171	309
357	171	308
358	172	307
359	172	306
360	172	305
361	173	305
362	173	304
363	173	303
364	173	302
365	174	301
366	174	300
367	174	299
368	174	298
369	175	298
370	175	297
371	175	296
372	175	295
373	176	294
374	176	294
375	176	293
376	176	292
377	177	291
378	177	290
379	177	289
380	177	289
381	178	288
382	178	287
383	178	286
384	178	285
385	179	285
386	179	284
387	179	283
388	180	282
389	180	281
390	180	281
391	180	280
392	181	279
393	181	279
394	181	278
395	181	277
396	182	276
397	182	276
398	182	275
399	182	274
400	183	273
401	183	273
402	183	272
403	183	271
404	184	270
405	184	270
406	184	269
407	185	268
408	185	267
409	185	267
410	185	266
411	186	265
412	186	265
413	186	264
414	187	263
415	187	262
416	187	262
417	187	261
418	188	260
419	188	260
420	188	259
421	189	258
422	189	258
423	189	257
424	189	256
425	190	256
426	190	255
427	190	255
428	191	254
429	191	253
430	191	253
431	192	252
432	192	251
433	192	251
434	192	250
435	193	249
436	193	249
437	193	248
438	193	247
439	194	247
440	194	246
441	194	245
442	195	245
443	195	244
444	195	243
445	195	243
446	196	242
447	196	242
448	196	241
449	196	240
450	197	240
451	197	239
452	197	238
453	198	238
454	198	237
455	198	236
456	198	236
457	199	235
458	199	235
459	199	234
460	199	233
461	200	233
462	200	232
463	200	231
464	200	231
465	201	230
466	201	229
467	201	229
468	201	228
469	202	227
470	202	227
471	202	226
472	202	226
473	203	225
474	203	224
475	203	224
476	204	223
477	204	223
478	204	222
479	204	221
480	205	221
481	205	220
482	205	220
483	205	219
484	206	218
485	206	218
486	206	217
487	207	217
488	207	216
489	207	216
490	207	215
491	208	214
492	208	214
493	208	213
494	209	213
495	209	212
496	209	212
497	209	211
498	210	211
499	210	210
500	210	210
501	211	209
502	211	208
503	211	208
504	211	207
505	212	207
506	212	206
507	212	205
508	212	205
509	213	204
510	213	204
511	213	203
512	214	203
513	214	202
514	214	202
515	214	201
516	215	201
517	215	200
518	215	199
519	215	199
520	216	198
521	216	198
522	216	197
523	216	196
524	217	196
525	217	196
526	217	195
527	218	194
528	218	194
529	218	193
530	218	193
531	219	192
532	219	192
533	219	191
534	219	191
535	220	190
536	220	190
537	220	189
538	220	189
539	221	188
540	221	187
541	221	187
542	222	186
543	222	186
544	222	185
545	222	185
546	223	184
547	223	184
548	223	183
549	224	183
550	224	182
551	224	182
552	224	181
553	225	181
554	225	180
555	225	180
556	225	179
557	226	179
558	226	178
559	226	178
560	226	177
561	227	177
562	227	176
563	227	176
564	228	175
565	228	174
566	228	174
567	228	173
568	228	173
569	229	172
570	229	172
571	229	171
572	229	171
573	230	171
574	230	170
575	230	170
576	231	169
577	231	169
578	231	168
579	232	168
580	232	167
581	232	167
582	232	166
583	233	166
584	233	165
585	233	165
586	233	164
587	234	164
588	234	163
589	234	163
590	234	162
591	235	162
592	235	161
593	235	161
594	235	160
595	236	160
596	236	159
597	236	159
598	236	158
599	237	158
600	237	157
601	237	157
602	237	156
603	238	156
604	238	155
605	238	155
606	239	154
607	239	154
608	239	153
609	240	153
610	240	152
611	240	152
612	240	152
613	241	151
614	241	151
615	241	150
616	241	150
617	242	149
618	242	149
619	242	148
620	242	148
621	243	147
622	243	147
623	243	146
624	243	146
625	244	145
626	244	145
627	244	144
628	244	144
629	245	143
630	245	143
631	245	143
632	245	142
633	246	142
634	246	141
635	246	141
636	246	140
637	247	140
638	247	139
639	247	139
640	248	139
641	248	138
642	248	138
643	249	137
644	249	137
645	249	136
646	249	136
647	250	135
648	250	135
649	250	134
650	250	134
651	251	133
652	251	133
653	251	133
654	251	132
655	252	132
656	252	131
657	252	131
658	252	130
659	253	130
660	253	129
661	253	129
662	253	129
663	254	128
664	254	128
665	254	127
666	255	127
667	255	126
668	255	126
669	255	125
670	256	125
671	256	125
672	256	124
673	256	124
674	256	123
675	257	123
676	257	122
677	257	122
678	257	121
679	258	121
680	258	121
681	258	120
682	258	120
683	259	119
684	259	119
685	259	118
686	260	118
687	260	118
688	260	117
689	260	117
690	261	116
691	261	116
692	261	115
693	261	115
694	262	115
695	262	114
696	262	114
697	262	113
698	263	113
699	263	112
700	263	112
701	263	112
702	264	111
703	264	111
704	264	110
705	264	110
706	265	109
707	265	109
708	265	109
709	265	108
710	266	108
711	266	107
712	266	107
713	267	107
714	267	106
715	267	106
716	268	105
717	268	105
718	268	104
719	268	104
720	269	104
721	269	103
722	269	103
723	269	102
724	270	102
725	270	102
726	270	101
727	271	101
728	271	100
729	271	100
730	271	100
731	272	99
732	272	99
733	272	98
734	273	98
735	273	98
736	273	97
737	273	97
738	274	96
739	274	96
740	274	95
741	275	95
742	275	95
743	275	94
744	275	94
745	276	94
746	276	93
747	276	93
748	276	92
749	277	92
750	277	92
751	277	91
752	278	91
753	278	90
754	278	90
755	279	90
756	279	89
757	279	89
758	279	88
759	280	88
760	280	88
761	280	87
762	280	87
763	281	86
764	281	86
765	281	86
766	281	85
767	282	85
768	282	84
769	283	84
770	283	84
771	283	83
772	283	83
773	284	82
774	284	82
775	284	82
776	284	81
777	285	81
778	285	80
779	285	80
780	285	80
781	286	79
782	286	79
783	286	79
784	286	78
785	287	78
786	287	77
787	287	77
788	288	77
789	288	76
790	288	76
791	288	75
792	289	75
793	289	75
794	289	74
795	289	74
796	290	73
797	290	73
798	290	73
799	291	72
800	291	72
801	291	71
802	291	71
803	292	71
804	292	70
805	292	70
806	292	70
807	293	69
808	293	69
809	293	68
810	294	68
811	294	68
812	294	67
813	294	67
814	295	67
815	295	66
816	295	66
817	295	65
818	296	65
819	296	65
820	296	64
821	297	64
822	297	63
823	297	63
824	297	63
825	298	62
826	298	62
827	298	62
828	298	61
829	299	61
830	299	60
831	299	60
832	300	60
833	300	59
834	300	59
835	300	59
836	301	58
837	301	58
838	301	57
839	301	57
840	302	57
841	302	56
842	302	56
843	303	56
844	303	55
845	303	55
846	303	54
847	304	54
848	304	54
849	304	53
850	304	53
851	305	53
852	305	52
853	305	52
854	305	51
855	306	51
856	306	51
857	306	50
858	306	50
859	307	50
860	307	49
861	307	49
862	308	48
863	308	48
864	308	48
865	308	47
866	309	47
867	309	47
868	309	46
869	309	46
870	310	45
871	310	45
872	310	45
873	311	44
874	311	44
875	311	44
876	312	43
877	312	43
878	312	43
879	312	42
880	313	42
881	313	41
882	313	41
883	314	41
884	314	40
885	314	40
886	314	40
887	315	39
888	315	39
889	315	39
890	315	38
891	316	38
892	316	37
893	316	37
894	316	37
895	317	36
896	317	36
897	317	36
898	318	35
899	318	35
900	318	35
901	318	34
902	319	34
903	319	33
904	319	33
905	319	33
906	320	32
907	320	32
908	320	32
909	320	31
910	321	31
911	321	31
912	321	30
913	322	30
914	322	29
915	322	29
916	322	29
917	323	28
918	323	28
919	323	28
920	323	27
921	324	27
922	324	27
923	324	26
924	324	26
925	325	25
926	325	25
927	325	25
928	325	24
929	326	24
930	326	24
931	326	23
932	327	23
933	327	23
934	327	22
935	327	22
936	328	22
937	328	21
938	328	21
939	329	21
940	329	20
941	329	20
942	330	19
943	331	19
944	331	19
945	331	18
946	332	18
947	332	18
948	332	17
949	332	17
950	333	17
951	333	16
952	333	16
953	334	16
954	334	15
955	334	15
956	334	15
957	335	14
958	335	14
959	335	13
960	336	13
961	336	13
962	336	12
963	336	12
964	337	12
965	337	11
966	337	11
967	337	11
968	338	10
969	338	10
970	338	10
971	339	9
972	339	9
973	339	9
974	340	8
975	340	8
976	340	8
977	340	7
978	341	7
979	341	6
980	341	6
981	341	6
982	342	5
983	342	5
984	342	5
985	343	4
986	343	4
987	343	4
988	343	3
989	344	3
990	344	3
991	344	2
992	345	2
993	345	2
994	345	1
995	345	1
996	346	1
997	346	0
998	346	0
999	346	0
